Time,Temperature
2024-12-02 07:19:00,3.24 °C
2024-12-02 07:34:00,3.24 °C
2024-12-02 07:49:00,3.55 °C
2024-12-02 08:05:00,3.56 °C
2024-12-02 08:20:00,3.27 °C
2024-12-02 08:35:00,4.45 °C
2024-12-02 08:50:00,3.36 °C
2024-12-02 09:05:00,4.22 °C
2024-12-02 09:20:00,4.33 °C
2024-12-02 09:36:00,5.99 °C
2024-12-02 09:51:00,6.87 °C
2024-12-02 10:06:00,7.1 °C
2024-12-02 10:21:00,7.39 °C
2024-12-02 10:36:00,7.94 °C
2024-12-02 10:51:00,7.92 °C
2024-12-02 11:06:00,7.14 °C
2024-12-02 11:07:00,7.14 °C
2024-12-02 11:22:00,6.95 °C
2024-12-02 11:37:00,8.82 °C
2024-12-02 11:52:00,9.34 °C
2024-12-02 12:07:00,9.37 °C
2024-12-02 12:22:00,9.42 °C
2024-12-02 12:37:00,7.29 °C
2024-12-02 12:53:00,7.28 °C
2024-12-02 13:08:00,7.37 °C
2024-12-02 13:23:00,7.84 °C
2024-12-02 13:38:00,7.74 °C
2024-12-02 13:53:00,7.84 °C
2024-12-02 14:08:00,7.76 °C
2024-12-02 14:24:00,7.88 °C
2024-12-02 14:39:00,7.88 °C
2024-12-02 14:54:00,7.88 °C
2024-12-02 15:09:00,9.37 °C
2024-12-02 15:24:00,9.14 °C
2024-12-02 15:39:00,8.83 °C
2024-12-02 15:55:00,8.59 °C
2024-12-02 16:10:00,8.54 °C
2024-12-02 16:25:00,8.55 °C
2024-12-02 16:40:00,9 °C
2024-12-02 16:55:00,7.51 °C
2024-12-02 17:10:00,7.41 °C
2024-12-02 17:26:00,7.29 °C
2024-12-02 17:41:00,6.94 °C
2024-12-02 17:56:00,7.3 °C
2024-12-02 18:11:00,7.41 °C
2024-12-02 18:26:00,7.41 °C
2024-12-02 18:41:00,6.85 °C
2024-12-02 18:56:00,6.83 °C
2024-12-02 19:12:00,6.96 °C
2024-12-02 19:27:00,7.3 °C
2024-12-02 19:42:00,7.29 °C
2024-12-02 19:57:00,7.3 °C
2024-12-02 20:12:00,7.3 °C
2024-12-02 20:28:00,7.31 °C
2024-12-02 20:43:00,7.29 °C
2024-12-02 20:58:00,7.29 °C
2024-12-02 21:13:00,7.29 °C
2024-12-02 21:28:00,7.38 °C
2024-12-02 21:43:00,6.91 °C
2024-12-02 21:59:00,7.32 °C
2024-12-02 22:14:00,7.72 °C
2024-12-02 22:29:00,8.03 °C
2024-12-02 22:44:00,8.03 °C
2024-12-02 22:59:00,7.5 °C
2024-12-02 23:14:00,8.76 °C
2024-12-02 23:30:00,8.75 °C
2024-12-02 23:45:00,8.65 °C
2024-12-03 00:00:00,8.65 °C
2024-12-03 00:15:00,8.01 °C
2024-12-03 00:30:00,7.95 °C
2024-12-03 00:45:00,7.87 °C
2024-12-03 01:00:00,7.39 °C
2024-12-03 01:01:00,7.39 °C
2024-12-03 01:16:00,7.44 °C
2024-12-03 01:31:00,7.72 °C
2024-12-03 01:46:00,7.38 °C
2024-12-03 02:01:00,7.38 °C
2024-12-03 02:16:00,7.18 °C
2024-12-03 02:31:00,7.09 °C
2024-12-03 02:47:00,7.11 °C
2024-12-03 03:02:00,7.25 °C
2024-12-03 03:17:00,7.24 °C
2024-12-03 03:32:00,7.24 °C
2024-12-03 03:47:00,7.22 °C
2024-12-03 04:02:00,7.18 °C
2024-12-03 04:18:00,7.17 °C
2024-12-03 04:33:00,6.88 °C
2024-12-03 04:48:00,6.88 °C
2024-12-03 05:03:00,6.54 °C
2024-12-03 05:18:00,6.29 °C
2024-12-03 05:33:00,6.29 °C
2024-12-03 05:49:00,6.52 °C
2024-12-03 06:07:00,6.35 °C
2024-12-03 06:22:00,6.29 °C
2024-12-03 06:37:00,6.29 °C
2024-12-03 06:52:00,6.28 °C
2024-12-03 07:08:00,6.08 °C
